StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_8,Q5_9,Q5_10,Q5_11,Q5_12,Q6_1,Q6_2,Q6_3,Q6_4,Q7_1,Q7_2,Q7_3,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q11,Q12,Q15_1,Q15_2,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_6,Q17_7,Q17_8,Q17_9,Q17_10,Q17_11,Q18_1,Q18_2,Q18_3,Q21,Q22,user_id,cond,Create New Field or Choose From Dropdown...
2025-10-02 13:00:53,2025-10-02 13:05:05,0,18.27.112.248,100,252,1,2025-10-02 13:05:06,R_71H1xFtPmRQHzA5,,,,,42.3649,-71.0987,anonymous,EN,4,4,4,4,3,4,5,5,5,5,4,5,4,5,5,5,5,4,4,4,4,4,4,4,4,3,4,3,4,4,4,3,4,4,3,4,3,4,4,4,5,3,3,5,3,2,4,2,3,3,3,3,3,3,3,5,6,5,,,,,
2025-10-02 12:28:59,2025-10-02 13:46:05,0,18.29.115.203,100,4626,1,2025-10-02 13:46:05,R_72D74sRusmsY5Tl,,,,,42.3649,-71.0987,anonymous,EN,3,3,4,5,4,6,5,6,4,7,3,6,6,6,6,6,4,5,4,3,3,3,4,4,4,4,3,3,4,4,5,3,3,3,3,2,2,4,4,4,3,2,3,3,2,2,3,3,3,3,2,1,2,2,1,5,5,4,,,,,
2025-10-02 14:01:10,2025-10-02 14:20:26,0,65.112.8.53,100,1156,1,2025-10-02 14:20:26,R_3c2FEO4FvQS0eun,,,,,42.3737,-71.1284,anonymous,EN,5,4,2,4,5,6,8,7,3,7,3,6,6,8,6,7,5,6,4,5,5,5,5,5,4,2,2,4,5,5,4,2,3,4,3,2,2,4,4,5,4,2,3,5,2,2,2,3,2,3,2,2,2,2,3,5,5,5,,,,,
2025-10-03 08:54:28,2025-10-03 09:15:25,0,192.54.222.157,100,1256,1,2025-10-03 09:15:25,R_73xM6BOsgLIUIyI,,,,,42.3649,-71.0987,anonymous,EN,2,2,2,6,5,5,7,8,3,7,2,7,1,7,7,7,3,8,3,3,4,4,3,3,4,4,4,3,4,3,4,2,3,3,2,3,3,3,4,4,3,3,4,6,3,3,2,5,2,3,3,4,3,3,2,2,6,5,It’s a really fun experience! The system stays true to the input and have reliable prediction over one’s overall course of development. The system and artificial intelligence still feel out of sync with the human agent and even tho it’s your own voice it drags you back into reality. It would be beneficial if the sound could stay true to a 60 year-old’s voice and also have more imaginative interaction with the human agent and have a smoother transition between the virtual and the reality.,,,,
2025-10-03 09:33:35,2025-10-03 09:41:24,0,18.29.87.22,100,469,1,2025-10-03 09:41:26,R_3fVXSmPsG4lCl4B,,,,,42.3649,-71.0987,anonymous,EN,5,5,2,5,4,4,6,6,5,6,3,6,4,6,6,8,7,8,5,5,5,5,6,6,6,5,5,6,5,5,6,2,2,5,2,2,3,5,5,5,5,2,5,5,3,2,2,2,3,4,2,3,3,3,3,5,5,5,"It seems like a psychologist, trying to relax me and do not worried about the future",,,,
2025-10-03 13:08:03,2025-10-03 13:13:52,0,18.29.79.12,100,348,1,2025-10-03 13:13:52,R_706nPRE3U5mZ8sx,,,,,42.3649,-71.0987,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"not really since I have previous understanding of AI and how AI model works, I feel like it's more like a constrain instead something that's helpful or inspiriting, the model is predicting the future instead of ""forsee"" it","Be mindful about this technology and test out between people who understand AI and who don't ",,,
2025-10-03 13:14:05,2025-10-03 13:23:16,0,18.29.79.12,100,550,1,2025-10-03 13:23:16,R_3OE7VwNkCf3nPmx,,,,,42.3649,-71.0987,anonymous,EN,5,3,3,5,6,6,7,6,3,7,3,7,1,6,5,7,4,6,6,6,6,6,3,3,3,3,3,3,3,3,3,1,3,3,1,1,3,3,4,5,6,4,3,5,4,3,3,4,5,3,3,3,3,3,2,2,4,2,,,,,
2025-10-04 08:41:33,2025-10-04 09:44:20,0,18.29.6.64,100,3766,1,2025-10-04 09:44:20,R_3PTVD7gYEg3RAlP,,,,,42.3649,-71.0987,anonymous,EN,4,2,2,7,7,7,8,8,4,8,2,7,3,7,8,6,3,7,5,5,4,3,5,5,4,6,6,5,5,5,5,2,2,5,1,1,1,5,5,5,6,6,6,6,2,2,1,1,1,4,3,3,4,4,4,6,6,4,"I feel like the conversation provided some clarity about how my future will unfold, and my reactions to how it potentially unfolds seems like a strong indicator of what I actually want to happen. For example, if my future self says I will do x and I don't like that outcome, then I should avoid x; whereas if I am contemplating doing x without talking to my future self and their explanation of how it went I am left guessing - even though the agent is providing theoretical outcomes it gives me a good framework to think about decisions","This experience was fantastic. The team was very welcoming and kind. ",,,
2025-10-04 09:44:39,2025-10-04 09:58:21,0,18.29.6.64,100,821,1,2025-10-04 09:58:21,R_6rABXCRrlaXcNtp,,,,,42.3649,-71.0987,anonymous,EN,3,3,2,5,5,7,5,6,5,7,4,7,2,5,7,8,5,6,4,5,2,5,5,5,6,5,5,3,6,5,6,4,5,4,1,2,2,4,4,5,5,4,5,6,1,1,1,1,1,3,3,4,4,4,4,6,6,4,"I've become more calm and relaxed, knowing that I will do well in life and achieve the goals that I set out myself to achieve. Nothing happening now seems too significant to the future, but any right decisions right now affect the future much more than any mishaps or unfortunate circumstances. Keep hustling and working regardless is the path that I would take, even though short term gains don't seem imminent. ","Could add more input questions on life outside professional development, like social growth, family relations, hobbies and life styles. ",,,
2025-10-04 09:59:50,2025-10-04 10:05:50,0,18.29.6.64,100,360,1,2025-10-04 10:05:51,R_5m1q9Irxe9IK2nY,,,,,42.3649,-71.0987,anonymous,EN,2,2,2,6,6,6,8,8,5,7,4,7,2,7,7,7,3,7,4,4,4,4,5,5,5,5,5,5,5,5,5,3,4,4,1,1,2,4,4,4,6,6,6,6,3,2,2,2,2,3,3,3,3,3,3,6,6,6,It helps me reinforce my belief of what I would work or accomplish in the future. It provide more confidence and motivation for my own future,,,,
2025-10-04 10:11:32,2025-10-04 11:05:24,0,18.29.6.64,100,3231,1,2025-10-04 11:05:25,R_6RDmkbnfM371pnj,,,,,42.3649,-71.0987,anonymous,EN,6,2,2,3,5,4,7,4,2,7,3,6,6,7,3,5,7,5,5,5,4,6,4,3,5,5,6,4,5,3,4,2,1,2,4,1,1,4,2,5,5,3,3,7,2,1,1,1,1,,4,4,3,3,4,3,6,4,"I think this experience shaped my perception of the future that I can have whatever I'd like to happen but I still feel like I don't have the actionable steps towards it. It's nice to feel like my goals already happened but I guess I'm more of a problem-solving, step-wanted person so the overall thing doesn't feel super realistic in those terms of the gap in between and how to do that. It was nice to ask about its values and see it aligns to where I am now. I did feel like when it kept mentioning the past of what I experienced where I just was like 'ahhh we're still core memory-ing that' but from present time me to future them is a cool story. ","Thought this was an interesting experience. I felt a little weird talking to myself to where I couldnt make eye contact. The voice in the beginning did sound like me but then later on did not. I did feel like when it mentioned climbing a mountain with my twin sister, didn't feel realistic because it doesnt know that she doesnt do outdoorsy stuff so it made feel a little less. ",,,
2025-10-04 16:17:02,2025-10-04 16:28:49,0,18.29.17.64,100,707,1,2025-10-04 16:28:50,R_3Ld54X3oYCMPnei,,,,,42.3649,-71.0987,anonymous,EN,2,2,2,6,6,7,6,6,4,7,3,7,3,7,7,8,5,7,4,5,4,5,4,5,5,3,3,4,5,5,5,2,4,3,2,2,2,4,4,5,5,3,4,5,2,2,2,2,2,4,3,4,3,3,4,3,4,4,,,,,
2025-10-04 16:30:46,2025-10-04 16:39:42,0,18.29.17.64,100,536,1,2025-10-04 16:39:42,R_639SxwAIrl2UKqd,,,,,42.3649,-71.0987,anonymous,EN,2,2,2,6,6,6,6,6,5,8,2,7,7,7,6,6,8,6,4,4,5,6,6,5,5,4,5,5,5,5,5,1,2,4,1,1,2,4,4,4,5,6,6,6,2,2,2,2,2,3,4,4,2,2,2,5,5,5,Future is still a bit abstract but I do like how I look in the future. It is very reassuring but did not give very good insights on what I could do to reach my goals.,,,,
2025-10-06 10:27:48,2025-10-06 10:40:48,0,76.119.234.101,100,780,1,2025-10-06 10:40:48,R_14JcLnS2GxexZQF,,,,,42.3649,-71.0987,anonymous,EN,2,2,2,6,6,6,7,7,4,7,4,7,3,5,7,7,6,7,5,5,5,5,5,5,5,3,3,3,4,4,4,2,3,4,2,3,2,4,4,5,3,4,5,5,4,2,4,2,1,4,3,3,2,3,3,6,6,2,It helps me portray future details (like where I'm going to live and my job routine) which help me to strongly visualize it.,"It feels like the AI only loop around what I wrote previously. It does not jump out of my vision - rather strengthen my already-had ideas. I'm worry if this would lead people to only think in one perspective, not opening up more opportunities.",,,
2025-10-06 11:59:33,2025-10-06 12:00:32,0,18.27.115.203,100,59,1,2025-10-06 12:00:32,R_32RAV5p2DZ1RYtj,,,,,42.3649,-71.0987,anonymous,EN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,wbf,sdf,[userId],avatar,
2025-10-06 12:44:28,2025-10-06 12:45:50,0,18.29.125.138,100,82,1,2025-10-06 12:45:51,R_51Fc93MWbutTDRW,,,,,42.3649,-71.0987,anonymous,EN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,asdf,asdf,123,voice,
2025-10-06 12:52:47,2025-10-06 12:53:40,0,18.29.125.138,100,52,1,2025-10-06 12:53:40,R_5YEGeG3z5WMqydP,,,,,42.3649,-71.0987,anonymous,EN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,asdf,asdf,21,text,
2025-10-06 13:54:45,2025-10-06 13:55:51,0,166.198.21.123,100,65,1,2025-10-06 13:55:51,R_1fJCXUrby3GXjMl,,,,,42.3602,-71.0594,anonymous,EN,5,5,5,5,5,5,5,,4,3,4,3,3,1,7,8,6,4,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,4,4,4,4,4,4,4,5,5,5,5,2,2,2,2,2,2,2,2,2,2,2,3,3,3,great,great,test,avatar,
2025-10-06 16:49:08,2025-10-06 16:51:55,0,68.96.38.128,100,167,1,2025-10-06 16:51:56,R_6BW5uaoOKEArqiN,,,,,30.0521,-89.9584,anonymous,EN,3,3,1,5,5,5,8,7,4,7,1,7,4,7,8,7,2,7,5,6,5,6,5,5,5,4,5,5,5,5,5,4,4,5,1,1,1,4,4,5,6,6,6,7,1,1,2,3,1,3,3,3,3,4,3,2,5,4,I think it made me feel less wary of the future and more excited. The responses generally seemed like something older me would say. It's like they knew my personality it was very interesting.,I really enjoyed this. I ended up talking to AI-me way longer than I was supposed to.,67296c945c2b23b3b4f9d079,text,
2025-10-06 16:47:58,2025-10-06 16:53:57,0,70.120.180.7,100,359,1,2025-10-06 16:53:58,R_1IhpaADoz1QpJYd,,,,,31.8211,-106.5739,anonymous,EN,6,6,2,4,3,3,6,5,6,6,6,7,6,5,6,7,6,7,2,3,1,2,1,1,1,3,4,2,1,1,1,2,1,2,2,2,2,3,2,2,5,3,3,5,4,5,4,4,3,2,2,1,2,2,2,3,2,3,Made me a little scared for the future just felt overwhelming and strange. It did really encourage me.,No other comments.,66a02d45a7db35d93c9f6a81,avatar,
2025-10-06 16:52:33,2025-10-06 16:54:08,0,73.148.97.252,100,94,1,2025-10-06 16:54:08,R_5ps1Q5BtNuAZFn3,,,,,39.018,-77.539,anonymous,EN,1,1,1,6,6,5,7,6,6,6,7,6,4,5,6,6,6,6,5,4,4,5,5,5,5,5,4,4,5,5,5,2,2,2,1,1,1,5,4,4,5,6,6,6,1,1,1,1,1,5,5,5,5,5,5,5,5,4,it made me less anxious about being a good father,,60fd6618f9a377f54dcdf318,text,
2025-10-06 16:54:05,2025-10-06 16:57:28,0,67.165.179.16,100,203,1,2025-10-06 16:57:30,R_7DSzqzSfBB9rMyG,,,,,41.9025,-87.6726,anonymous,EN,5,5,3,3,6,6,5,5,5,6,4,5,6,5,5,4,7,6,4,4,4,3,4,4,4,3,3,4,4,4,4,5,5,5,1,1,1,5,5,5,5,5,6,6,2,2,2,2,2,4,4,4,4,4,4,4,4,4,It made me even more amazed and excited about all that AI can do.,This was very interesting and different.,671b277a6d04904df5f9503b,avatar,
2025-10-06 16:54:35,2025-10-06 16:57:58,0,66.42.18.246,100,203,1,2025-10-06 16:57:59,R_7dFQQiGkMsIteUM,,,,,28.4338,-81.3472,anonymous,EN,3,3,3,5,3,5,8,7,5,8,1,8,6,8,8,7,6,8,3,3,3,5,5,5,5,3,3,3,4,4,5,2,4,5,1,1,2,4,4,5,5,4,5,6,4,2,2,4,2,3,4,2,4,4,2,6,6,5,It gave me a sense of peace and assurance. It made me look towards my future with positivity.,,5c3e359b08a31d000166b9aa,text,
2025-10-06 16:58:48,2025-10-06 17:02:48,0,98.51.11.81,100,240,1,2025-10-06 17:02:49,R_65EhSxv0ut1dBJS,,,,,38.5879,-121.4053,anonymous,EN,4,5,3,5,4,5,6,4,8,7,6,6,8,6,8,1,8,4,5,5,5,5,5,5,4,5,5,4,5,6,4,4,4,5,3,4,3,5,5,5,6,7,7,7,2,2,2,3,2,4,3,3,4,4,4,2,5,5,This experience brought me a totally new experience that I wasn't expecting. It was really cool to be able to relate to an older me and to talk to an older me. It brought me a glimpse of what the future may be like for me.,,67414dcbcf89f6a633385d49,voice,
2025-10-06 17:01:09,2025-10-06 17:03:36,0,68.134.247.44,100,146,1,2025-10-06 17:03:37,R_5D2g6asDRGN2u3X,,,,,39.3888,-76.4988,anonymous,EN,1,1,1,7,7,7,7,8,1,7,1,7,1,8,8,8,1,8,3,5,1,5,4,5,4,5,4,5,5,4,5,4,4,4,1,1,1,5,4,4,5,5,5,7,1,1,1,1,1,5,4,4,5,5,4,5,5,5,"It made me realize I may look pretty handsome at 60. Also, it made me what possibilities could be years later on if I indulge in certain fields now. And how to start.",n/a,66463e4efb99fba5a67a010a,text,
2025-10-06 17:00:02,2025-10-06 17:03:52,0,68.194.179.11,100,230,1,2025-10-06 17:03:52,R_61KuPIyUNhzc5rl,,,,,41.3412,-73.882,anonymous,EN,4,3,4,5,4,5,8,6,5,8,4,8,4,8,8,8,6,7,5,5,5,5,6,6,6,6,6,6,6,6,6,3,4,4,2,2,2,5,5,5,6,5,6,7,2,2,3,2,3,3,3,3,3,3,3,6,7,7,"It made me feel less anxious about the future. I feel more secure that life will happen how it happens, and as long as I am working towards goals, that's all I can do--I can't force certain things to happen.",None!,610835949b556d70924fd817,text,
2025-10-06 17:01:24,2025-10-06 17:04:11,0,130.45.30.156,100,167,1,2025-10-06 17:04:11,R_5W2kp2voME8AK65,,,,,30.2661,-97.7136,anonymous,EN,1,1,1,7,7,7,6,6,2,6,6,7,7,7,6,6,6,6,4,4,3,3,4,4,5,4,4,3,4,4,4,5,5,5,1,1,1,5,5,5,6,5,5,6,1,1,1,1,1,3,3,4,4,4,3,4,5,5,I feel a little better and more confident about the future.,Thank you for this.,66a9979ad8c56c6f29446781,avatar,
2025-10-06 17:06:39,2025-10-06 17:09:50,0,73.197.154.140,100,191,1,2025-10-06 17:09:51,R_3pmNvGirXUmznGv,,,,,39.6365,-74.8024,anonymous,EN,1,1,2,6,3,4,7,7,2,7,2,7,2,7,6,2,2,7,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,4,2,1,1,3,3,4,4,2,5,5,2,2,2,2,2,4,4,4,4,4,4,1,1,1,"I thought it was interesting as it made me think about how quickly 30 years can pass by. ",,5a198755f2e3460001edc5c9,text,
